Race,,Dist,200m,Time,43.21
Split,Time,Secs,Vel,SR,
25,7.17,7.17,3.49,133.53,
50,12.01,4.83,5.17,154.84,
75,16.79,4.78,5.23,149.66,
100,21.71,4.92,5.08,143.17,
125,26.88,5.16,4.84,140.13,
150,32.22,5.35,4.67,134.97,
175,37.67,5.44,4.59,132,
200,43.21,5.54,4.52,128.16,
Av,,5.4,4.7,139.56,
