Race,,Dist,500m,Time,02:02.4
Split,Time,Secs,Vel,SR,
25,7.66,7.66,3.26,115.7,
50,13.31,5.64,4.43,122.45,
75,18.9,5.59,4.47,120.24,
100,24.67,5.78,4.33,114.94,
125,30.47,5.79,4.32,112.57,
150,36.18,5.71,4.38,108.87,
175,42.01,5.83,4.29,108.7,
200,48.06,6.05,4.13,108,
225,54.08,6.02,4.16,105.26,
250,01:00.2,6.12,4.08,107.33,
275,01:06.2,6.02,4.15,106.38,
300,01:12.1,5.88,4.25,105.47,
325,01:18.1,6,4.16,107.14,
350,01:24.3,6.22,4.02,104.35,
375,01:30.6,6.22,4.02,105.63,
400,01:36.8,6.22,4.02,107.14,
425,01:43.0,6.26,3.99,105.94,
450,01:49.4,6.38,3.92,104.65,
475,01:55.9,6.47,3.87,103.45,
500,02:02.4,6.48,3.87,98.18,
Av,,6.12,4.11,108.62,
