Race,,Dist,1000m,Time,4:13.05
Split,Time,Secs,Vel,SR,
25,7.01,7.01,3.56,120.74,
50,12.59,5.57,4.49,124.53,
75,18.23,5.64,4.43,119.52,
100,23.94,5.72,4.37,115.61,
125,29.84,5.89,4.24,113.21,
150,35.76,5.92,4.22,110.70,
175,41.72,5.97,4.19,109.49,
200,47.75,6.02,4.15,108.70,
225,53.78,6.04,4.14,106.72,
250,59.86,6.08,4.11,105.82,
275,1:06.01,6.15,4.07,103.81,
300,1:12.20,6.19,4.04,103.05,
325,1:18.36,6.16,4.06,103.27,
350,1:24.56,6.20,4.03,101.87,
375,1:30.90,6.34,3.94,102.27,
400,1:37.20,6.30,3.97,102.39,
425,1:43.52,6.32,3.96,101.52,
450,1:49.76,6.25,4.00,101.12,
475,1:56.10,6.33,3.95,100.50,
500,2:02.55,6.45,3.87,100.00,
525,2:09.02,6.47,3.86,98.00,
550,2:15.45,6.43,3.89,99.17,
575,2:21.71,6.26,3.99,98.72,
600,2:28.09,6.38,3.92,99.83,
625,2:34.48,6.39,3.91,99.63,
650,2:40.91,6.42,3.89,97.56,
675,2:47.38,6.48,3.86,97.47,
700,2:53.86,6.48,3.86,98.04,
725,3:00.49,6.63,3.77,96.62,
750,3:07.07,6.58,3.80,96.95,
775,3:13.61,6.54,3.82,97.72,
800,3:20.10,6.49,3.85,96.95,
825,3:26.64,6.53,3.83,96.62,
850,3:33.13,6.49,3.85,96.26,
875,3:39.62,6.48,3.86,94.79,
900,3:46.14,6.52,3.83,95.74,
925,3:52.81,6.67,3.75,95.41,
950,3:59.51,6.70,3.73,94.04,
975,4:06.16,6.65,3.76,92.94,
1000,4:13.05,6.89,3.63,90.91,
Av,,6.33,3.96,102.21,
