Race,,Dist,500,Time,110.15
Split,Time,Secs,Vel,SR,
25,7.18,7.18,3.48,118.81,
50,11.98,4.81,5.2,133.66,
75,16.84,4.86,5.15,129.31,
100,21.74,4.9,5.11,126.17,
125,26.73,5,5,123.85,
150,31.81,5.07,4.93,120.24,
175,37.02,5.21,4.8,118.94,
200,42.35,5.33,4.69,119.05,
225,47.66,5.31,4.71,117.65,
250,53.1,5.44,4.6,116.63,
275,58.67,5.57,4.49,117.19,
300,64.28,5.61,4.46,115.38,
325,69.95,5.67,4.41,115.38,
350,75.61,5.66,4.41,113.21,
375,81.28,5.67,4.41,112.5,
400,86.98,5.71,4.38,114.5,
425,92.76,5.78,4.33,112.99,
450,98.52,5.76,4.34,112.57,
475,104.32,5.8,4.31,113.21,
500,110.15,5.83,4.29,110.5,
Av,,5.51,4.57,118.09,
