Race,,Dist,200m,Time,39.51
Split,Time,Secs,Vel,SR,
25,6.57,6.57,3.8,134.62,
50,11.11,4.54,5.51,153.49,
75,15.64,4.53,5.52,151.9,
100,20.23,4.59,5.45,149.32,
125,24.97,4.74,5.28,145.99,
150,29.51,4.54,5.51,136.67,
175,34.46,4.95,5.05,136.67,
200,39.51,5.05,4.96,134.23,
Av,,4.94,5.13,142.86,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
