Race,,Dist,500m,Time,01:43.2
Split,Time,Secs,Vel,SR,
25,6.27,6.27,3.99,133.33,
50,10.85,4.58,5.46,136.67,
75,15.48,4.63,5.4,129.5,
100,20.17,4.69,5.33,127.06,
125,24.92,4.75,5.26,123.08,
150,29.79,4.87,5.13,120.27,
175,34.79,5,5,119.21,
200,39.81,5.02,4.98,117.9,
225,44.89,5.08,4.92,116.88,
250,50.03,5.14,4.87,116.38,
275,55.18,5.15,4.85,115.63,
300,01:00.4,5.18,4.83,113.92,
325,01:05.7,5.32,4.7,113.21,
350,01:11.0,5.3,4.72,112.97,
375,01:16.3,5.3,4.72,113.21,
400,01:21.6,5.31,4.71,112.97,
425,01:27.0,5.35,4.67,113.45,
450,01:32.3,5.33,4.69,111.8,
475,01:37.7,5.43,4.6,111.57,
500,01:43.2,5.54,4.52,111.11,
Av,,5.16,4.87,118.51,
