Race,,Dist,500m,Time,01:43.9
Split,Time,Secs,Vel,SR,
25,6.77,6.77,3.69,130.43,
50,11.04,4.27,5.86,141.73,
75,15.41,4.38,5.71,128.88,
100,19.97,4.55,5.49,119.7,
125,24.69,4.72,5.29,115.11,
150,29.5,4.82,5.19,113.48,
175,34.43,4.93,5.08,112.41,
200,39.48,5.04,4.96,109.53,
225,44.54,5.06,4.94,110.6,
250,49.71,5.17,4.83,110.85,
275,54.93,5.22,4.79,110.66,
300,01:00.1,5.16,4.84,113.21,
325,01:05.3,5.23,4.78,112.27,
350,01:10.6,5.28,4.73,110.66,
375,01:15.9,5.34,4.68,109.76,
400,01:21.4,5.42,4.61,111.8,
425,01:26.8,5.44,4.6,111.34,
450,01:32.3,5.53,4.52,107.36,
475,01:38.0,5.66,4.42,105.88,
500,01:43.9,5.94,4.21,102.35,
Av,,5.2,4.86,114.4,
