Race,,Dist,1000,Time,03:47.5
Split,Time,Secs,Vel,SR,
25,6.36,6.36,3.93,117.46,
50,11.1,4.74,5.28,117.94,
75,15.97,4.87,5.13,114.89,
100,20.91,4.94,5.06,111.89,
125,26.11,5.2,4.81,112.97,
150,31.32,5.21,4.8,111.11,
175,36.61,5.29,4.72,110.66,
200,41.91,5.3,4.72,109.09,
225,47.32,5.41,4.62,103.9,
250,52.83,5.51,4.53,105.47,
275,58.37,5.54,4.51,105.26,
300,01:04.0,5.65,4.42,99.59,
325,01:09.8,5.75,4.35,103.45,
350,01:15.5,5.77,4.33,103.05,
375,01:21.2,5.7,4.39,99.79,
400,01:27.0,5.79,4.32,101.31,
425,01:32.8,5.82,4.3,102.27,
450,01:38.7,5.82,4.3,101.12,
475,01:44.5,5.8,4.31,101.31,
500,01:50.1,5.64,4.43,102.56,
525,01:55.9,5.76,4.34,101.31,
550,02:01.7,5.86,4.27,102.08,
575,02:07.6,5.87,4.26,103.45,
600,02:13.5,5.91,4.23,103.25,
625,02:19.4,5.87,4.26,102.27,
650,02:25.3,5.92,4.22,101.69,
675,02:31.3,5.97,4.19,101.69,
700,02:37.3,6.08,4.11,102.39,
725,02:43.3,5.97,4.19,103.25,
750,02:49.1,5.81,4.31,104.65,
775,02:54.8,5.7,4.39,108,
800,03:00.5,5.71,4.38,107.78,
825,03:06.2,5.71,4.38,108.11,
850,03:12.1,5.9,4.24,106.93,
875,03:18.0,5.87,4.26,106.38,
900,03:23.9,5.9,4.24,106.09,
925,03:29.8,5.87,4.26,106.72,
950,03:35.6,5.86,4.26,107.91,
975,03:41.5,5.81,4.3,106.72,
1000,03:47.5,6.08,4.12,103.45,
Av,,5.69,4.41,105.73,
