Race,,Dist,500,Time,98.55
Split,Time,Secs,Vel,SR,
25,6.26,6.26,3.99,132.65,
50,10.53,4.27,5.86,151.9,
75,14.79,4.26,5.87,147.14,
100,19.17,4.38,5.71,139.21,
125,23.59,4.42,5.65,134.45,
150,28.13,4.54,5.51,132.35,
175,32.79,4.67,5.36,131.07,
200,37.58,4.79,5.22,126.32,
225,42.38,4.8,5.21,124.14,
250,47.31,4.93,5.07,122.45,
275,52.22,4.91,5.1,123.01,
300,57.19,4.97,5.03,121.62,
325,62.21,5.02,4.98,120.81,
350,67.28,5.07,4.93,120,
375,72.42,5.14,4.86,119.28,
400,77.52,5.1,4.9,120.54,
425,82.68,5.16,4.85,120.27,
450,87.9,5.22,4.79,120.27,
475,93.17,5.27,4.75,118.58,
500,98.54,5.38,4.65,114.89,
Av,,4.93,5.11,127.05,
