Race,,Dist,500m,Time,01:49.9
Split,Time,Secs,Vel,SR,
25,6.86,6.86,3.65,134,
50,11.59,4.73,5.28,144,
75,16.30,4.71,5.31,134,
100,21.13,4.83,5.17,130,
125,26.11,4.98,5.02,126,
150,31.20,5.08,4.92,122,
175,36.36,5.17,4.84,118,
200,41.57,5.21,4.8,118,
225,46.93,5.36,4.66,116,
250,52.51,5.58,4.48,115,
275,58.14,5.63,4.44,112,
300,01:03.7,5.57,4.49,111,
325,01:09.3,5.56,4.5,109,
350,01:14.9,5.67,4.41,110,
375,01:20.7,5.72,4.37,108,
400,01:26.3,5.65,4.42,107,
425,01:32.1,5.77,4.33,105,
450,01:37.9,5.81,4.3,105,
475,01:43.8,5.88,4.25,105,
500,01:49.9,6.07,4.12,101,
Av,,5.49,4.59,116,
