Race,,Dist,500,Time,01:30.5
Split,Time,Secs,Vel,SR,
25,6.5,6.5,3.84,126.21,
50,10.58,4.08,6.13,149.17,
75,14.57,3.99,6.27,143.71,
100,18.6,4.02,6.21,138.11,
125,22.7,4.1,6.09,132.23,
150,26.83,4.13,6.05,131.87,
175,31.05,4.22,5.92,128.34,
200,35.39,4.34,5.77,126.65,
225,39.76,4.37,5.72,126.32,
250,44.18,4.42,5.66,126.76,
275,48.61,4.43,5.64,126.32,
300,53.09,4.48,5.58,125,
325,57.6,4.51,5.54,125,
350,01:02.1,4.53,5.52,125,
375,01:06.7,4.6,5.44,125.29,
400,01:11.3,4.61,5.42,124.35,
425,01:16.0,4.66,5.37,124.14,
450,01:20.8,4.76,5.26,123.29,
475,01:25.6,4.85,5.16,121.52,
500,01:30.5,4.94,5.07,118.94,
Av,,4.53,5.58,128.41,
