Race,,Dist,500m,Time,01:47.5
Split,Time,Secs,Vel,SR,
25,6.78,6.78,3.69,133,
50,11.56,4.78,5.24,135,
75,16.35,4.79,5.22,133,
100,21.21,4.87,5.14,129,
125,26.24,5.02,4.98,129,
150,31.40,5.16,4.84,123,
175,36.64,5.24,4.77,123,
200,41.93,5.29,4.72,121,
225,47.31,5.38,4.65,120,
250,52.82,5.52,4.53,117,
275,58.33,5.50,4.54,121,
300,01:03.8,5.47,4.57,123,
325,01:09.3,5.47,4.57,123,
350,01:14.8,5.49,4.56,122,
375,01:20.3,5.53,4.52,123,
400,01:25.8,5.52,4.53,121,
425,01:31.2,5.43,4.61,120,
450,01:36.6,5.39,4.64,124,
475,01:42.1,5.43,4.6,124,
500,01:47.5,5.45,4.59,120,
Av,,5.38,4.68,124,
