Race,,Dist,200m,Time,41.32
Split,Time,Secs,Vel,SR,
25,6.77,6.77,3.69,130.23,
50,11.49,4.72,5.3,142.86,
75,16.16,4.67,5.35,140.85,
100,20.96,4.79,5.22,137.93,
125,25.8,4.85,5.16,135.44,
150,30.87,5.07,4.93,132.45,
175,36,5.13,4.87,128.76,
200,41.31,5.31,4.72,122.45,
Av,,5.16,4.9,133.87,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
