Race,,Dist,200m,Time,43.24
Split,Time,Secs,Vel,SR,
25,7.27,7.27,3.44,120.52,
50,12.23,4.96,5.04,134.83,
75,17.2,4.97,5.04,135.44,
100,22.2,5.01,4.99,131,
125,27.29,5.09,4.91,127.39,
150,32.53,5.24,4.77,123.71,
175,37.81,5.28,4.74,122.95,
200,43.23,5.42,4.62,120.24,
Av,,5.4,4.69,127.01,
