Race,,Dist,1000m,Time,03:34.0
Split,Time,Secs,Vel,SR,
25,6.36,6.36,3.93,140,
50,10.75,4.39,5.69,145.99,
75,15.13,4.37,5.72,139.18,
100,19.6,4.48,5.59,132.68,
125,24.19,4.59,5.45,128.27,
150,28.98,4.79,5.22,124.71,
175,33.88,4.9,5.11,121.62,
200,38.9,5.03,4.97,119.21,
225,43.98,5.08,4.92,117.14,
250,49.17,5.19,4.82,115.63,
275,54.34,5.17,4.83,115.38,
300,59.5,5.16,4.85,115.38,
325,01:04.7,5.17,4.83,114.89,
350,01:09.9,5.22,4.79,115.38,
375,01:15.3,5.44,4.6,113.92,
400,01:20.8,5.46,4.58,113.42,
425,01:26.2,5.38,4.65,111.34,
450,01:31.6,5.46,4.58,109.98,
475,01:37.0,5.41,4.62,110.2,
500,01:42.4,5.33,4.69,110.09,
525,01:47.7,5.37,4.66,110.43,
550,01:53.2,5.48,4.56,109.76,
575,01:58.6,5.42,4.61,109.76,
600,02:04.2,5.52,4.53,107.78,
625,02:09.7,5.51,4.54,107.14,
650,02:15.2,5.57,4.48,105.47,
675,02:20.9,5.65,4.43,105.06,
700,02:26.6,5.71,4.38,105.26,
725,02:32.2,5.63,4.44,106.93,
750,02:37.8,5.57,4.49,106.3,
775,02:43.3,5.51,4.53,106.43,
800,02:48.8,5.47,4.57,107.36,
825,02:54.3,5.53,4.52,105.88,
850,02:59.9,5.53,4.52,105.68,
875,03:05.4,5.53,4.52,103.45,
900,03:11.0,5.58,4.48,103.45,
925,03:16.6,5.61,4.46,101.48,
950,03:22.3,5.7,4.39,100.93,
975,03:28.0,5.72,4.37,100.42,
1000,03:34.0,6.01,4.16,95.24,
Av,,5.35,4.7,112.97,
