Race,,Dist,1000m,Time,03:26.0
Split,Time,Secs,Vel,SR,
25,6.67,6.67,3.75,122.07,
50,11.03,4.36,5.73,135.34,
75,15.37,4.34,5.75,130.79,
100,19.83,4.46,5.61,125.29,
125,24.32,4.49,5.57,123.71,
150,28.95,4.64,5.39,121.21,
175,33.6,4.65,5.38,117.65,
200,38.33,4.73,5.29,115.11,
225,43.04,4.71,5.3,114.29,
250,47.74,4.7,5.32,113.74,
275,52.5,4.76,5.25,112.41,
300,57.3,4.8,5.21,112.41,
325,01:02.2,4.86,5.15,111.89,
350,01:07.0,4.84,5.16,110.6,
375,01:11.9,4.86,5.15,111.89,
400,01:16.7,4.84,5.17,112.15,
425,01:21.5,4.83,5.18,111.89,
450,01:26.4,4.83,5.17,112.15,
475,01:31.2,4.79,5.21,112.68,
500,01:35.9,4.75,5.26,113.74,
525,01:40.7,4.83,5.17,112.41,
550,01:45.7,4.95,5.05,111.57,
575,01:50.7,5.02,4.98,110.85,
600,01:55.8,5.09,4.92,109.34,
625,02:01.0,5.23,4.78,108.65,
650,02:06.2,5.16,4.84,108.35,
675,02:11.3,5.14,4.86,108.6,
700,02:16.4,5.07,4.93,108.35,
725,02:21.4,5.03,4.97,110.88,
750,02:26.5,5.04,4.96,110.6,
775,02:31.5,5.02,4.98,111.11,
800,02:36.5,5.04,4.96,112.5,
825,02:41.6,5.06,4.95,112.15,
850,02:47.1,5.48,4.56,97.56,
875,02:53.0,5.94,4.21,88.72,
900,02:59.1,6.13,4.08,86.18,
925,03:05.3,6.21,4.03,83.17,
950,03:11.8,6.5,3.85,78.95,
975,03:18.6,6.72,3.72,78.05,
1000,03:26.0,7.45,3.36,42.33,
Av,,5.15,4.93,108.28,
