Race,,Dist,1000m,Time,03:20.1
Split,Time,Secs,Vel,SR,
25,6.43,6.43,3.89,132.08,
50,10.58,4.15,6.03,144.39,
75,14.71,4.13,6.05,137.93,
100,18.93,4.22,5.92,134,
125,23.24,4.31,5.8,130.08,
150,27.63,4.39,5.7,128.34,
175,32.09,4.46,5.61,126.76,
200,36.63,4.54,5.5,123.08,
225,41.26,4.63,5.4,122.45,
250,45.95,4.69,5.33,121.62,
275,50.68,4.73,5.28,121.35,
300,55.46,4.78,5.23,120,
325,01:00.3,4.84,5.17,118.16,
350,01:05.2,4.86,5.15,118.23,
375,01:10.0,4.85,5.15,116.88,
400,01:14.9,4.89,5.11,115.11,
425,01:19.8,4.93,5.07,115.14,
450,01:24.8,4.99,5.01,115.11,
475,01:29.8,5,5,114.89,
500,01:34.9,5.07,4.93,113.48,
525,01:40.0,5.07,4.93,114.16,
550,01:45.0,5.09,4.92,113.45,
575,01:50.2,5.12,4.88,113.48,
600,01:55.3,5.15,4.85,113.68,
625,02:00.6,5.26,4.75,112.97,
650,02:05.9,5.3,4.72,109.98,
675,02:11.2,5.28,4.73,107.87,
700,02:16.5,5.3,4.72,108.22,
725,02:21.8,5.37,4.66,108.11,
750,02:27.2,5.39,4.64,108.22,
775,02:32.7,5.44,4.59,107.78,
800,02:38.1,5.43,4.61,107.57,
825,02:43.4,5.32,4.7,108.11,
850,02:48.7,5.33,4.69,108,
875,02:53.9,5.16,4.84,108.35,
900,02:59.1,5.16,4.84,109.34,
925,03:04.2,5.17,4.83,109.09,
950,03:09.4,5.18,4.83,110.6,
975,03:14.6,5.19,4.81,111.34,
1000,03:20.1,5.53,4.52,104.8,
Av,,5,5.04,116.6,
