Race,,Dist,200m,Time,40.33
Split,Time,Secs,Vel,SR,
25,6.71,6.71,3.73,136.99,
50,11.26,4.55,5.5,153.85,
75,15.83,4.57,5.47,147.98,
100,20.42,4.59,5.45,143.88,
125,25.13,4.71,5.3,142.86,
150,29.96,4.83,5.17,137.93,
175,35.04,5.07,4.93,136.67,
200,40.33,5.29,4.73,132,
Av,,5.04,5.03,141.52,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
