Race,,Dist,1000,Time,03:33.3
Split,Time,Secs,Vel,SR,
25,6.43,6.43,3.89,134.62,
50,11.02,4.59,5.45,138.89,
75,15.62,4.6,5.44,132.35,
100,20.38,4.76,5.25,129.5,
125,25.28,4.9,5.1,126.17,
150,30.2,4.91,5.09,126.05,
175,35.14,4.95,5.05,125.29,
200,40.17,5.03,4.98,121.35,
225,45.28,5.11,4.9,119.47,
250,50.44,5.17,4.84,118.58,
275,55.63,5.18,4.82,116.38,
300,01:00.9,5.26,4.75,114.89,
325,01:06.2,5.27,4.74,114.89,
350,01:11.5,5.33,4.69,115.63,
375,01:16.9,5.41,4.62,112.5,
400,01:22.3,5.44,4.6,112.03,
425,01:27.7,5.35,4.67,113.21,
450,01:33.1,5.36,4.66,112.73,
475,01:38.4,5.35,4.68,113.92,
500,01:43.8,5.39,4.64,114.65,
525,01:49.1,5.32,4.7,114.41,
550,01:54.5,5.38,4.65,113.68,
575,01:59.9,5.43,4.6,113.85,
600,02:05.3,5.41,4.62,112.03,
625,02:10.8,5.46,4.58,111.57,
650,02:16.2,5.42,4.62,111.57,
675,02:21.7,5.47,4.57,111.34,
700,02:27.2,5.52,4.53,111.34,
725,02:32.7,5.51,4.54,112.15,
750,02:38.2,5.46,4.58,112.97,
775,02:43.6,5.47,4.57,113.45,
800,02:49.1,5.49,4.55,112.57,
825,02:54.6,5.49,4.55,111.57,
850,03:00.1,5.44,4.59,113.92,
875,03:05.5,5.42,4.62,113.45,
900,03:10.9,5.44,4.59,113.64,
925,03:16.4,5.49,4.56,112.5,
950,03:21.9,5.56,4.49,112.03,
975,03:27.6,5.62,4.45,110.29,
1000,03:33.3,5.72,4.37,107.38,
Av,,5.33,4.7,116.47,
