Race,,Dist,500,Time,01:57.2
Split,Time,Secs,Vel,SR,
25,6.93,6.93,3.61,115.18,
50,11.97,5.05,4.95,120.27,
75,17.01,5.03,4.97,120.81,
100,22.17,5.16,4.84,120.72,
125,27.45,5.28,4.73,116.13,
150,32.83,5.38,4.65,114.16,
175,38.43,5.6,4.47,112.99,
200,44.01,5.58,4.48,111.11,
225,49.82,5.81,4.3,109.89,
250,55.73,5.9,4.23,109.09,
275,01:01.7,5.97,4.19,109.89,
300,01:07.6,5.96,4.2,111.94,
325,01:13.6,5.9,4.24,108.89,
350,01:19.5,5.96,4.19,108.89,
375,01:25.4,5.88,4.25,111.52,
400,01:31.5,6.13,4.08,109.89,
425,01:37.8,6.3,3.97,106.57,
450,01:44.1,6.31,3.96,106.97,
475,01:50.5,6.36,3.93,102.66,
500,01:57.2,6.69,3.74,99.55,
Av,,5.86,4.3,111.36,
