Race,,Dist,500m,Time,01:34.4
Split,Time,Secs,Vel,SR,
25,6.31,6.31,3.96,129.35,
50,10.51,4.19,5.96,148.76,
75,14.63,4.13,6.06,141.36,
100,18.81,4.17,5.99,136.71,
125,23.09,4.28,5.84,129.73,
150,27.42,4.33,5.77,129.73,
175,31.89,4.47,5.6,127.06,
200,36.48,4.59,5.44,125.33,
225,41.09,4.61,5.43,123.01,
250,45.8,4.71,5.31,121.52,
275,50.59,4.79,5.22,122.45,
300,55.4,4.8,5.2,123.01,
325,01:00.1,4.74,5.27,124.42,
350,01:04.9,4.74,5.27,125.29,
375,01:09.7,4.81,5.2,123.57,
400,01:14.5,4.79,5.22,123.39,
425,01:19.4,4.87,5.14,122.45,
450,01:24.3,4.94,5.06,121.08,
475,01:29.3,5.02,4.98,122.95,
500,01:34.3,5.04,4.97,124.71,
Av,,4.72,5.34,127.29,
