Race,,Dist,500m,Time,01:44.6
Split,Time,Secs,Vel,SR,
25,6.66,6.66,3.75,121.31,
50,11.19,4.53,5.52,134.66,
75,15.76,4.57,5.47,127.96,
100,20.4,4.64,5.39,120.6,
125,25.19,4.79,5.21,117.36,
150,30.11,4.91,5.09,113.68,
175,35.1,5,5,108.84,
200,40.21,5.11,4.89,106.19,
225,45.37,5.16,4.85,103.67,
250,50.66,5.29,4.73,103.23,
275,55.96,5.31,4.71,103,
300,01:01.3,5.35,4.67,103.9,
325,01:06.7,5.36,4.66,105.26,
350,01:12.0,5.36,4.66,103.23,
375,01:17.4,5.36,4.66,100.84,
400,01:22.7,5.34,4.68,103,
425,01:28.0,5.3,4.72,104.58,
450,01:33.4,5.37,4.66,104.35,
475,01:38.8,5.39,4.64,101.89,
500,01:44.6,5.82,4.3,98.9,
Av,,5.23,4.81,109.32,
