Race,,Dist,500,Time,111.8
Split,Time,Secs,Vel,SR,
25,6.85,6.85,3.65,126.13,
50,11.69,4.85,5.16,138.25,
75,16.66,4.97,5.03,134.83,
100,21.71,5.06,4.94,127.66,
125,26.93,5.22,4.79,122.95,
150,32.22,5.29,4.72,116.38,
175,37.61,5.38,4.64,114.89,
200,43.07,5.47,4.57,114.72,
225,48.58,5.51,4.54,113.68,
250,54.21,5.63,4.44,113.42,
275,59.81,5.6,4.46,114.65,
300,65.46,5.65,4.43,114.29,
325,71.17,5.71,4.38,113.21,
350,76.88,5.71,4.38,114.07,
375,82.61,5.74,4.36,114.07,
400,88.32,5.71,4.38,116.05,
425,94.06,5.74,4.35,114.94,
450,99.89,5.82,4.29,112.78,
475,105.78,5.9,4.24,113.42,
500,111.8,6.02,4.15,110.91,
Av,,5.59,4.5,118.07,
