Race,,Dist,500m,Time,01:44.6
Split,Time,Secs,Vel,SR,
25,6.47,6.47,3.87,135.05,
50,11.05,4.59,5.45,133.66,
75,15.66,4.61,5.43,131.71,
100,20.39,4.72,5.29,124.71,
125,25.21,4.82,5.18,123.29,
150,30.21,5,5,119.47,
175,35.28,5.07,4.93,118.42,
200,40.44,5.16,4.85,118.68,
225,45.64,5.2,4.81,117.42,
250,50.92,5.28,4.73,116.88,
275,56.18,5.25,4.76,117.65,
300,01:01.5,5.33,4.69,117.14,
325,01:06.9,5.38,4.64,116.96,
350,01:12.2,5.32,4.7,117.39,
375,01:17.5,5.29,4.73,119.76,
400,01:22.8,5.31,4.71,118.94,
425,01:28.2,5.4,4.63,116.96,
450,01:33.6,5.4,4.63,118.11,
475,01:39.1,5.45,4.59,117.14,
500,01:44.6,5.5,4.55,114.29,
Av,,5.23,4.81,120.68,
