Race,,Dist,500,Time,01:22.0
Split,Time,Secs,Vel,SR,
25,6.18,6.18,4.04,126.98,
50,9.98,3.8,6.58,153.41,
75,13.63,3.65,6.85,150.94,
100,17.27,3.64,6.87,146.79,
125,20.96,3.69,6.77,144.58,
150,24.73,3.77,6.63,139.53,
175,28.59,3.85,6.49,135.59,
200,32.51,3.92,6.38,131.66,
225,36.49,3.99,6.27,130.79,
250,40.53,4.03,6.2,130.08,
275,44.59,4.06,6.16,129.63,
300,48.67,4.08,6.12,130.08,
325,52.75,4.08,6.13,133.33,
350,56.83,4.08,6.12,134.08,
375,01:00.9,4.11,6.08,133.33,
400,01:05.1,4.16,6,132.23,
425,01:09.3,4.17,5.99,132.6,
450,01:13.5,4.24,5.9,130.08,
475,01:17.8,4.26,5.87,130.08,
500,01:22.0,4.26,5.88,129.19,
Av,,4.1,6.17,135.25,
