Race,,Dist,500,Time,01:59.4
Split,Time,Secs,Vel,SR,
25,7.25,7.25,3.45,114.2,
50,12.63,5.39,4.64,114.65,
75,18.1,5.47,4.57,116.05,
100,23.6,5.49,4.55,113.92,
125,29.18,5.58,4.48,112.57,
150,34.92,5.74,4.35,111.52,
175,40.69,5.77,4.33,108,
200,46.54,5.84,4.28,105.68,
225,52.39,5.86,4.27,103.45,
250,58.42,6.02,4.15,102.92,
275,01:04.6,6.17,4.05,105.08,
300,01:10.7,6.11,4.09,104.05,
325,01:16.7,6.02,4.15,107.33,
350,01:22.8,6.05,4.13,105.63,
375,01:28.9,6.09,4.11,104.25,
400,01:35.0,6.1,4.1,106.57,
425,01:40.9,5.99,4.18,106.38,
450,01:47.0,6.08,4.11,103.45,
475,01:53.3,6.26,3.99,102.92,
500,01:59.3,6.07,4.12,102.08,
Av,,5.97,4.21,107.54,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
