Race,,Dist,500m,Time,01:51.7
Split,Time,Secs,Vel,SR,
25,6.81,6.81,3.67,133.53,
50,11.62,4.8,5.2,143.2,
75,16.47,4.85,5.16,136.99,
100,21.48,5.02,4.98,128.21,
125,26.73,5.24,4.77,123.71,
150,32.13,5.41,4.62,119.28,
175,37.59,5.45,4.58,117.65,
200,43.09,5.51,4.54,114.07,
225,48.7,5.61,4.45,113.92,
250,54.38,5.68,4.4,114.94,
275,01:00.0,5.63,4.44,114.94,
300,01:05.6,5.55,4.5,114.94,
325,01:11.2,5.67,4.41,113.45,
350,01:16.9,5.65,4.42,115.16,
375,01:22.6,5.68,4.4,114.5,
400,01:28.3,5.69,4.39,113.85,
425,01:34.0,5.78,4.33,112.15,
450,01:39.8,5.75,4.35,112.99,
475,01:45.7,5.88,4.25,109.09,
500,01:51.7,6.04,4.14,106.95,
Av,,5.59,4.5,118.68,
