Race,,Dist,500,Time,119.67
Split,Time,Secs,Vel,SR,
25,7.12,7.12,3.51,122.63,
50,12.12,5,5,136.99,
75,17.19,5.07,4.93,132.53,
100,22.47,5.27,4.74,124.48,
125,27.96,5.49,4.55,118.68,
150,33.51,5.56,4.5,114.5,
175,39.09,5.58,4.48,112.73,
200,44.82,5.73,4.36,111.73,
225,50.65,5.82,4.29,111.32,
250,56.6,5.96,4.2,109.49,
275,62.68,6.07,4.12,108.7,
300,68.92,6.24,4.01,106.57,
325,75.15,6.23,4.01,105.26,
350,81.35,6.2,4.03,103.99,
375,87.79,6.44,3.88,104.71,
400,94.17,6.38,3.92,103.99,
425,100.53,6.36,3.93,105.08,
450,106.87,6.34,3.94,105.82,
475,113.22,6.34,3.94,106.97,
500,119.68,6.46,3.87,105.26,
Av,,5.98,4.21,112.57,
