Race,,Dist,500m,Time,01:31.8
Split,Time,Secs,Vel,SR,
25,6.51,6.51,3.84,128,
50,10.64,4.13,6.05,147,
75,14.67,4.03,6.2,146,
100,18.69,4.01,6.23,142,
125,22.79,4.11,6.09,139,
150,27.03,4.23,5.91,137,
175,31.35,4.32,5.79,137,
200,35.75,4.40,5.68,134,
225,40.26,4.51,5.54,132,
250,44.83,4.57,5.47,131,
275,49.42,4.58,5.45,129,
300,54.01,4.59,5.45,128,
325,58.67,4.66,5.36,128,
350,01:03.3,4.66,5.36,126,
375,01:08.0,4.65,5.38,126,
400,01:12.6,4.66,5.36,124,
425,01:17.4,4.74,5.27,123,
450,01:22.2,4.77,5.24,124,
475,01:27.0,4.82,5.19,124,
500,01:31.8,4.84,5.16,124,
Av,,4.59,5.5,132,
