Race,,Dist,500m,Time,01:43.7
Split,Time,Secs,Vel,SR,
25,6.76,6.76,3.7,134.62,
50,11.26,4.5,5.55,138.11,
75,15.74,4.49,5.57,134.66,
100,20.36,4.62,5.41,131.39,
125,25.1,4.73,5.28,127.96,
150,29.98,4.89,5.12,123.97,
175,34.91,4.92,5.08,123.85,
200,39.88,4.98,5.02,122.73,
225,45,5.11,4.89,123.01,
250,50.17,5.17,4.83,120,
275,55.38,5.21,4.8,119.47,
300,01:00.6,5.25,4.76,118.94,
325,01:05.9,5.28,4.73,121.21,
350,01:11.2,5.28,4.73,121.46,
375,01:16.5,5.28,4.74,121.35,
400,01:21.8,5.29,4.73,120.72,
425,01:27.1,5.36,4.67,120.48,
450,01:32.5,5.38,4.64,116.63,
475,01:38.0,5.53,4.52,117.42,
500,01:43.7,5.64,4.43,115.83,
Av,,5.18,4.86,123.69,
