Race,,Dist,500m,Time,01:40.3
Split,Time,Secs,Vel,SR,
25,6.37,6.37,3.93,128.93,
50,10.69,4.33,5.78,146.7,
75,15.02,4.33,5.78,140.26,
100,19.46,4.44,5.64,133.33,
125,24.02,4.56,5.48,127.96,
150,28.69,4.68,5.34,125.65,
175,33.55,4.85,5.15,123.01,
200,38.43,4.89,5.11,119.47,
225,43.39,4.96,5.04,116.13,
250,48.41,5.01,4.99,115.94,
275,53.49,5.08,4.92,114.65,
300,58.6,5.12,4.89,114.89,
325,01:03.7,5.09,4.91,114.65,
350,01:08.8,5.09,4.91,116.22,
375,01:13.9,5.15,4.86,117.65,
400,01:19.1,5.17,4.83,116.96,
425,01:24.3,5.2,4.8,115.88,
450,01:29.5,5.22,4.79,117.14,
475,01:34.9,5.33,4.69,116.63,
500,01:40.3,5.45,4.59,116.13,
Av,,5.02,5.02,121.91,
