Race,,Dist,200m,Time,44.19
Split,Time,Secs,Vel,SR,
25,6.57,6.57,3.81,125.44,
50,11.44,4.87,5.13,116.5,
75,16.69,5.25,4.76,101.69,
100,22.21,5.52,4.53,96.58,
125,27.84,5.63,4.44,97.36,
150,33.24,5.41,4.62,104.35,
175,38.7,5.45,4.58,106.3,
200,44.18,5.48,4.56,105.47,
Av,,5.52,4.55,106.71,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
