Race,,Dist,500,Time,01:38.2
Split,Time,Secs,Vel,SR,
25,6.53,6.53,3.83,123.81,
50,10.93,4.4,5.69,136.36,
75,15.32,4.38,5.7,131.51,
100,19.77,4.46,5.61,128.27,
125,24.3,4.53,5.52,124.35,
150,28.98,4.68,5.34,123.85,
175,33.71,4.73,5.29,123.57,
200,38.45,4.75,5.27,123.08,
225,43.17,4.72,5.3,123.57,
250,47.94,4.77,5.24,123.85,
275,52.69,4.75,5.27,123.85,
300,57.47,4.78,5.23,125.87,
325,01:02.3,4.8,5.21,125,
350,01:07.2,4.88,5.12,124.14,
375,01:12.1,4.97,5.03,123.01,
400,01:17.1,5.02,4.98,122.95,
425,01:22.2,5.09,4.91,123.29,
450,01:27.4,5.17,4.83,121.9,
475,01:32.7,5.29,4.73,118.58,
500,01:38.2,5.47,4.57,113.92,
Av,,4.91,5.13,124.24,
