Race,,Dist,200m,Time,43.44
Split,Time,Secs,Vel,SR,
25,7.17,7.17,3.49,123.35,
50,12.06,4.89,5.11,144.93,
75,16.94,4.88,5.12,143.17,
100,21.95,5.01,4.99,138.08,
125,27.17,5.22,4.79,135.75,
150,32.54,5.38,4.65,133.33,
175,37.93,5.39,4.64,129.41,
200,43.43,5.5,4.55,124.74,
Av,,5.43,4.67,134.09,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
