Race,,Dist,500,Time,122.5
Split,Time,Secs,Vel,SR,
25,7.37,7.37,3.39,118.31,
50,12.47,5.1,4.91,129.87,
75,17.58,5.11,4.89,126.58,
100,22.98,5.4,4.63,123.46,
125,28.5,5.52,4.53,119.76,
150,34.17,5.67,4.41,116.73,
175,39.89,5.72,4.37,113.85,
200,45.69,5.8,4.31,112.27,
225,51.66,5.97,4.19,109.89,
250,57.73,6.07,4.12,109.29,
275,63.99,6.26,4,107.32,
300,70.35,6.36,3.93,106.01,
325,76.66,6.32,3.96,105.08,
350,83.05,6.39,3.91,104.53,
375,89.47,6.42,3.89,103.99,
400,96.16,6.69,3.74,103.45,
425,102.86,6.7,3.73,101.52,
450,109.48,6.61,3.78,100.84,
475,116,6.52,3.83,101.87,
500,122.5,6.5,3.85,99.83,
Av,,6.13,4.12,110.72,
