Race,,Dist,1000,Time,03:32.2
Split,Time,Secs,Vel,SR,
25,6.4,6.4,3.91,125.81,
50,10.76,4.36,5.73,135.68,
75,15.18,4.42,5.65,129.73,
100,19.81,4.63,5.39,123.85,
125,24.52,4.7,5.31,120.91,
150,29.39,4.88,5.13,117.39,
175,34.34,4.95,5.05,114.01,
200,39.37,5.03,4.97,112.03,
225,44.56,5.19,4.82,110.34,
250,49.78,5.22,4.79,108.87,
275,55.03,5.25,4.76,108.84,
300,01:00.4,5.33,4.69,107.57,
325,01:05.6,5.28,4.74,107.14,
350,01:11.0,5.35,4.67,106.51,
375,01:16.3,5.34,4.68,105.03,
400,01:21.8,5.46,4.58,106.19,
425,01:27.2,5.37,4.65,104.65,
450,01:32.6,5.43,4.61,103.45,
475,01:38.0,5.41,4.62,104.05,
500,01:43.4,5.43,4.61,104.58,
525,01:48.9,5.44,4.59,104.45,
550,01:54.2,5.38,4.65,105.26,
575,01:59.7,5.4,4.63,103.45,
600,02:05.1,5.44,4.59,103.25,
625,02:10.5,5.44,4.6,103.23,
650,02:16.0,5.5,4.54,103.45,
675,02:21.4,5.4,4.63,104.65,
700,02:26.9,5.5,4.54,102.35,
725,02:32.4,5.49,4.56,102.27,
750,02:37.9,5.49,4.55,104.12,
775,02:43.5,5.55,4.51,104.85,
800,02:48.9,5.46,4.58,106.93,
825,02:54.1,5.23,4.78,112.68,
850,02:59.3,5.14,4.86,116.13,
875,03:04.4,5.1,4.9,118.42,
900,03:09.5,5.13,4.87,118.34,
925,03:14.8,5.33,4.69,115.14,
950,03:20.4,5.54,4.52,114.41,
975,03:26.1,5.74,4.35,110.09,
1000,03:32.2,6.08,4.12,103.45,
Av,,5.3,4.74,110.34,
