Race,,Dist,200m,Time,41.06
Split,Time,Secs,Vel,SR,
25,6.55,6.55,3.82,124.01,
50,11.18,4.63,5.4,138.11,
75,15.93,4.75,5.26,131.58,
100,20.82,4.89,5.11,129.81,
125,25.74,4.92,5.08,128.21,
150,30.77,5.03,4.97,123.85,
175,35.83,5.06,4.94,123.46,
200,41.06,5.23,4.78,121.35,
Av,,5.13,4.92,127.55,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
