Race,,Dist,500,Time,01:34.1
Split,Time,Secs,Vel,SR,
25,6.74,6.74,3.71,122.64,
50,10.99,4.26,5.87,142.48,
75,15.16,4.16,6.01,139.9,
100,19.38,4.23,5.92,136.36,
125,23.69,4.31,5.8,129.81,
150,28.05,4.36,5.73,126.32,
175,32.51,4.46,5.6,124.03,
200,37.05,4.53,5.51,123.85,
225,41.62,4.58,5.46,123.08,
250,46.26,4.64,5.39,124.03,
275,50.88,4.62,5.41,123.01,
300,55.54,4.66,5.37,122.45,
325,01:00.2,4.69,5.33,121.9,
350,01:05.0,4.75,5.26,123.29,
375,01:09.7,4.77,5.25,124.71,
400,01:14.6,4.81,5.2,125.29,
425,01:19.4,4.82,5.19,125.29,
450,01:24.2,4.85,5.16,123.57,
475,01:29.1,4.92,5.08,122.45,
500,01:34.1,4.97,5.04,122.73,
Av,,4.71,5.37,126.36,
