Race,,Dist,200m,Time,45.37
Split,Time,Secs,Vel,SR,
25,7.28,7.28,3.44,138.53,
50,12.39,5.11,4.89,156.86,
75,17.44,5.05,4.95,154.76,
100,22.68,5.23,4.78,149.32,
125,28,5.33,4.69,146.62,
150,33.56,5.56,4.5,141.73,
175,39.38,5.82,4.29,136.62,
200,45.37,5.98,4.18,133.09,
Av,,5.67,4.46,144.69,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
