Race,,Dist,500,Time,02:10.2
Split,Time,Secs,Vel,SR,
25,7.61,7.61,3.29,122.45,
50,13.51,5.9,4.24,122.91,
75,19.18,5.67,4.41,127.66,
100,25.23,6.05,4.13,114.72,
125,31.4,6.17,4.05,112.44,
150,37.6,6.2,4.03,111.52,
175,43.97,6.37,3.92,110.92,
200,50.23,6.26,3.99,114.98,
225,56.84,6.6,3.79,106.8,
250,01:03.5,6.69,3.73,104.9,
275,01:10.3,6.77,3.69,103.61,
300,01:16.7,6.35,3.93,109.27,
325,01:23.2,6.52,3.84,104.35,
350,01:29.9,6.7,3.73,104.43,
375,01:36.7,6.77,3.69,104.17,
400,01:43.2,6.6,3.79,103.77,
425,01:49.9,6.63,3.77,104.1,
450,01:56.7,6.83,3.66,104.76,
475,02:03.5,6.74,3.71,105.43,
500,02:10.2,6.72,3.72,107.84,
Av,,6.51,3.86,110.05,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
