Race,,Dist,500m,Time,01:55.1
Split,Time,Secs,Vel,SR,
25,7.01,7.01,3.57,123,
50,11.77,4.76,5.25,137,
75,16.64,4.87,5.13,130,
100,21.71,5.07,4.93,122,
125,26.73,5.02,4.98,112,
150,32.37,5.63,4.44,115,
175,38.22,5.85,4.27,111,
200,44.25,6.03,4.14,105,
225,50.29,6.04,4.14,103,
250,56.33,6.04,4.14,95,
275,01:02.7,6.37,3.93,100,
300,01:09.1,6.36,3.93,101,
325,01:15.3,6.27,3.99,105,
350,01:21.0,5.65,4.42,113,
375,01:26.7,5.67,4.41,109,
400,01:32.3,5.66,4.42,110,
425,01:38.0,5.65,4.43,110,
450,01:43.6,5.62,4.45,112,
475,01:49.1,5.54,4.51,105,
500,01:55.1,5.96,4.2,109,
Av,,5.75,4.38,111,
