Race,,Dist,200,Time,45.1
Split,Time,Secs,Vel,SR,
25,7.42,7.42,3.37,126.51,
50,12.66,5.24,4.78,138.66,
75,17.76,5.1,4.9,135.8,
100,22.99,5.23,4.78,133.87,
125,28.36,5.37,4.66,129.03,
150,33.85,5.48,4.56,128.4,
175,39.41,5.57,4.49,126.44,
200,45.09,5.68,4.41,125.48,
Av,,5.64,4.49,130.52,
