Race,,Dist,1000,Time,03:10.0
Split,Time,Secs,Vel,SR,
25,6.32,6.32,3.96,131.98,
50,10.36,4.04,6.19,148.35,
75,14.36,4,6.25,140.99,
100,18.4,4.04,6.19,135.98,
125,22.56,4.16,6.01,130.79,
150,26.78,4.22,5.92,128.34,
175,31.12,4.34,5.77,119.11,
200,35.53,4.42,5.66,120.34,
225,40.06,4.53,5.52,118.52,
250,44.67,4.62,5.41,116.5,
275,49.31,4.64,5.39,116.79,
300,53.98,4.67,5.35,116.5,
325,07:12.0,4.65,5.38,116.5,
350,01:03.3,4.7,5.32,113.74,
375,01:08.1,4.73,5.29,113.74,
400,01:12.8,4.77,5.24,112.94,
425,01:17.6,4.79,5.22,112.94,
450,01:22.4,4.8,5.2,111.89,
475,01:27.3,4.87,5.14,111.37,
500,01:32.1,4.85,5.15,116.13,
525,01:36.8,4.64,5.39,120.3,
550,01:41.4,4.65,5.38,117.36,
575,01:46.1,4.7,5.32,116.22,
600,01:50.9,4.81,5.2,115.66,
625,01:55.8,4.83,5.17,115.14,
650,02:00.6,4.83,5.17,114.29,
675,02:05.4,4.83,5.18,114.29,
700,02:10.3,4.91,5.09,113.21,
725,02:15.3,4.92,5.08,112.97,
750,02:20.2,4.94,5.06,112.68,
775,02:25.2,5.02,4.98,112.41,
800,02:30.2,5,5,113.45,
825,02:35.0,4.84,5.17,117.65,
850,02:39.8,4.78,5.23,116.38,
875,02:44.7,4.86,5.15,117.36,
900,02:49.7,4.98,5.02,115.63,
925,02:54.5,4.87,5.13,115.94,
950,02:59.6,5.02,4.98,113.68,
975,03:04.7,5.13,4.87,112.94,
1000,03:10.0,5.25,4.77,96.33,
Av,,4.75,5.3,117.93,
