Race,,Dist,500m,Time,01:49.8
Split,Time,Secs,Vel,SR,
25,7.13,7.13,3.51,118,
50,12.06,4.93,5.07,125,
75,16.92,4.86,5.14,121,
100,21.81,4.89,5.11,119,
125,26.81,5.00,5,110,
150,31.89,5.08,4.92,105,
175,37.14,5.24,4.77,101,
200,42.54,5.40,4.63,103,
225,48.08,5.54,4.51,102,
250,53.62,5.55,4.51,103,
275,59.29,5.66,4.41,99,
300,01:05.0,5.67,4.41,103,
325,01:10.5,5.55,4.5,110,
350,01:16.0,5.47,4.57,109,
375,01:21.6,5.62,4.45,106,
400,01:27.2,5.58,4.48,107,
425,01:32.8,5.60,4.46,108,
450,01:38.4,5.62,4.45,104,
475,01:44.1,5.69,4.39,104,
500,01:49.8,5.74,4.36,101,
Av,,5.49,4.58,108,
