Race,,Dist,500,Time,104.04
Split,Time,Secs,Vel,SR,
25,6.73,6.73,3.71,126.01,
50,11.36,4.63,5.39,132.74,
75,15.96,4.59,5.45,127.66,
100,20.63,4.67,5.35,121.9,
125,25.41,4.78,5.23,116.22,
150,30.27,4.86,5.15,117.14,
175,35.16,4.9,5.1,115.94,
200,40.24,5.08,4.92,112.5,
225,45.36,5.11,4.89,108.11,
250,50.59,5.23,4.78,109.59,
275,55.84,5.25,4.76,110.43,
300,61.18,5.34,4.68,109.98,
325,66.45,5.27,4.74,112.27,
350,71.75,5.3,4.72,111.11,
375,77.08,5.33,4.69,110.88,
400,82.43,5.35,4.67,111.11,
425,87.8,5.37,4.66,110.43,
450,93.13,5.33,4.69,108.65,
475,98.51,5.38,4.64,111.11,
500,104.03,5.52,4.53,114.16,
Av,,5.2,4.84,114.9,
