Race,,Dist,500m,Time,01:45.2
Split,Time,Secs,Vel,SR,
25,6.95,6.95,3.6,135,
50,11.45,4.50,5.55,132,
75,16.13,4.68,5.35,120,
100,20.93,4.81,5.2,116,
125,25.84,4.90,5.1,114,
150,30.83,4.99,5.01,111,
175,35.93,5.09,4.91,111,
200,41.10,5.18,4.83,109,
225,46.39,5.28,4.73,108,
250,51.74,5.35,4.67,107,
275,57.08,5.34,4.68,108,
300,01:02.4,5.35,4.67,107,
325,01:07.8,5.38,4.65,110,
350,01:13.0,5.22,4.79,116,
375,01:18.2,5.17,4.84,120,
400,01:23.4,5.17,4.83,120,
425,01:28.6,5.25,4.76,119,
450,01:34.0,5.39,4.64,116,
475,01:39.5,5.53,4.52,116,
500,01:45.2,5.68,4.41,112,
Av,,5.26,4.79,115,
