Race,,Dist,500m,Time,01:42.6
Split,Time,Secs,Vel,SR,
25,7.09,7.09,3.53,129,
50,11.51,4.42,5.65,146,
75,15.92,4.40,5.68,145,
100,20.38,4.46,5.6,141,
125,24.94,4.57,5.48,133,
150,29.66,4.72,5.3,132,
175,34.49,4.83,5.18,130,
200,39.35,4.86,5.14,130,
225,44.41,5.05,4.95,126,
250,49.52,5.11,4.89,126,
275,54.71,5.19,4.82,125,
300,59.91,5.20,4.81,124,
325,01:05.2,5.28,4.73,123,
350,01:10.4,5.22,4.79,123,
375,01:15.7,5.25,4.76,124,
400,01:21.0,5.37,4.65,123,
425,01:26.3,5.30,4.72,124,
450,01:31.7,5.35,4.67,124,
475,01:37.1,5.39,4.64,124,
500,01:42.6,5.52,4.54,123,
Av,,5.13,4.93,129,
