Race,,Dist,500,Time,107.32
Split,Time,Secs,Vel,SR,
25,6.64,6.64,3.77,134.19,
50,11.14,4.5,5.56,147.42,
75,15.53,4.39,5.7,139.53,
100,20.04,4.51,5.54,132.35,
125,24.78,4.75,5.27,127.96,
150,29.87,5.08,4.92,122.7,
175,34.78,4.92,5.09,120.6,
200,39.84,5.06,4.94,120.24,
225,45.05,5.21,4.8,119.47,
250,50.24,5.19,4.82,117.65,
275,55.76,5.52,4.53,115.61,
300,61.34,5.58,4.48,115.38,
325,66.92,5.58,4.48,116.96,
350,72.29,5.37,4.66,114.94,
375,77.97,5.68,4.4,111.8,
400,83.75,5.78,4.32,111.94,
425,89.57,5.82,4.3,111.32,
450,95.35,5.79,4.32,109.09,
475,101.11,5.76,4.34,108.5,
500,107.31,6.2,4.04,105.82,
Av,,5.37,4.71,120.17,
