Race,,Dist,200m,Time,41.45
Split,Time,Secs,Vel,SR,
25,7.22,7.22,3.46,142.22,
50,11.87,4.65,5.38,161.37,
75,16.5,4.63,5.4,157.52,
100,21.26,4.76,5.25,152.42,
125,25.94,4.68,5.34,150,
150,30.85,4.91,5.1,140.85,
175,36.09,5.25,4.76,139.53,
200,41.45,5.36,4.67,137.21,
Av,,5.18,4.92,147.64,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
