Race,,Dist,200m,Time,43.46
Split,Time,Secs,Vel,SR,
25,7.78,7.78,3.21,108.03,
50,12.85,5.07,4.93,125.26,
75,17.85,5.01,4.99,125.87,
100,22.89,5.04,4.96,123.97,
125,27.94,5.05,4.95,121.62,
150,33.04,5.1,4.91,122.45,
175,38.2,5.16,4.84,123.29,
200,43.45,5.25,4.77,121.46,
Av,,5.43,4.7,121.49,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
