Race,,Dist,500m,Time,01:51.1
Split,Time,Secs,Vel,SR,
25,6.18,6.18,4.05,139,
50,10.56,4.38,5.71,134,
75,15.07,4.51,5.54,120,
100,19.74,4.67,5.35,115,
125,24.62,4.88,5.13,110,
150,29.64,5.02,4.98,105,
175,34.81,5.17,4.84,104,
200,40.12,5.30,4.71,103,
225,45.54,5.43,4.61,102,
250,50.91,5.37,4.66,101,
275,56.42,5.51,4.54,102,
300,01:02.0,5.55,4.5,101,
325,01:07.5,5.49,4.55,102,
350,01:13.1,5.61,4.46,101,
375,01:19.0,5.96,4.19,92,
400,01:25.1,6.09,4.11,89,
425,01:31.4,6.31,3.96,87,
450,01:37.8,6.37,3.92,85,
475,01:44.1,6.30,3.97,86,
500,01:51.1,6.94,3.6,84,
Av,,5.55,4.57,103,
