Race,,Dist,500m,Time,01:52.8
Split,Time,Secs,Vel,SR,
25,7.49,7.49,3.34,128,
50,12.57,5.07,4.93,135,
75,17.61,5.05,4.95,131,
100,22.77,5.15,4.85,126,
125,28.15,5.38,4.64,123,
150,33.47,5.32,4.7,120,
175,38.88,5.41,4.62,117,
200,44.33,5.45,4.59,117,
225,49.87,5.54,4.51,113,
250,55.47,5.60,4.47,115,
275,01:01.1,5.64,4.43,114,
300,01:06.8,5.68,4.4,113,
325,01:12.5,5.65,4.42,116,
350,01:18.1,5.67,4.41,115,
375,01:23.8,5.68,4.4,115,
400,01:29.5,5.71,4.37,117,
425,01:35.3,5.78,4.33,114,
450,01:41.1,5.78,4.33,114,
475,01:46.9,5.80,4.31,112,
500,01:52.8,5.93,4.22,116,
Av,,5.64,4.46,118,
,,,,,
