Race,,Dist,500m,Time,01:47.8
Split,Time,Secs,Vel,SR,
25,6.43,6.43,3.89,137,
50,10.79,4.37,5.72,147,
75,15.27,4.47,5.59,126,
100,20.04,4.77,5.24,119,
125,24.84,4.80,5.2,116,
150,29.77,4.93,5.07,111,
175,34.87,5.10,4.9,109,
200,40.04,5.17,4.83,109,
225,45.24,5.20,4.81,109,
250,50.54,5.30,4.72,110,
275,55.85,5.31,4.71,110,
300,01:01.2,5.38,4.65,109,
325,01:06.8,5.53,4.52,107,
350,01:12.4,5.60,4.46,108,
375,01:18.0,5.61,4.45,107,
400,01:23.8,5.80,4.31,103,
425,01:29.8,6.00,4.17,100,
450,01:35.8,6.05,4.13,99,
475,01:41.6,5.82,4.3,101,
500,01:47.8,6.11,4.09,98,
Av,,5.39,4.69,112,
,,,,,
