Race,,Dist,500,Time,01:49.7
Split,Time,Secs,Vel,SR,
25,6.87,6.87,3.64,125,
50,11.73,4.86,5.14,135.75,
75,16.61,4.88,5.12,133.93,
100,21.61,5,5,130.43,
125,26.69,5.07,4.93,127.93,
150,31.82,5.14,4.87,124.48,
175,37.03,5.21,4.8,123.71,
200,42.36,5.33,4.69,119.47,
225,47.73,5.37,4.65,118.81,
250,53.19,5.46,4.58,117.65,
275,58.71,5.52,4.53,116.63,
300,01:04.2,5.48,4.56,118.34,
325,01:09.7,5.54,4.51,115.83,
350,01:15.2,5.51,4.53,116.28,
375,01:20.8,5.59,4.48,115.38,
400,01:26.5,5.64,4.43,113.42,
425,01:32.1,5.68,4.4,113.21,
450,01:37.9,5.79,4.32,112.27,
475,01:43.8,5.84,4.28,110.09,
500,01:49.7,5.93,4.22,109.89,
Av,,5.49,4.58,119.93,
