Race,,Dist,500,Time,02:01.7
Split,Time,Secs,Vel,SR,
25,7.11,7.11,3.52,135.14,
50,12.28,5.17,4.84,134.97,
75,17.5,5.22,4.79,126.85,
100,22.82,5.31,4.71,121.35,
125,28.42,5.6,4.46,119.13,
150,34.29,5.87,4.26,113.42,
175,40.18,5.89,4.25,113.42,
200,46.11,5.94,4.21,113.21,
225,52.26,6.14,4.07,109.09,
250,58.32,6.07,4.12,107.14,
275,01:04.3,6.01,4.16,105.45,
300,01:10.5,6.14,4.07,104.25,
325,01:16.5,6.05,4.13,103.81,
350,01:22.6,6.08,4.11,102.47,
375,01:28.9,6.3,3.97,102.92,
400,01:35.1,6.2,4.03,107.14,
425,01:41.4,6.31,3.96,103.09,
450,01:48.0,6.61,3.78,103.09,
475,01:54.7,6.69,3.73,99.01,
500,02:01.7,6.93,3.61,96.31,
Av,,6.08,4.14,111.06,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
