Race,,Dist,500m,Time,02:02.1
Split,Time,Secs,Vel,SR,
25,6.84,6.84,3.65,133,
50,11.64,4.80,5.21,141,
75,16.58,4.94,5.06,130,
100,21.69,5.11,4.9,126,
125,26.99,5.30,4.72,120,
150,32.54,5.55,4.51,103,
175,38.40,5.86,4.26,98,
200,44.40,6.00,4.17,92,
225,50.60,6.20,4.03,91,
250,56.88,6.28,3.98,91,
275,01:03.0,6.16,4.06,92,
300,01:09.4,6.32,3.96,90,
325,01:15.8,6.41,3.9,87,
350,01:22.3,6.49,3.85,87,
375,01:28.7,6.44,3.88,88,
400,01:35.2,6.46,3.87,86,
425,01:41.8,6.61,3.78,85,
450,01:48.4,6.62,3.78,85,
475,01:55.2,6.78,3.69,84,
500,02:02.1,6.88,3.64,80,
Av,,6.10,4.14,100,
,,,,,
