Race,,Dist,500,Time,110.99
Split,Time,Secs,Vel,SR,
25,6.79,6.79,3.68,130.43,
50,11.58,4.79,5.22,138.89,
75,16.24,4.66,5.37,135.14,
100,21.39,5.15,4.85,128.21,
125,26.33,4.95,5.05,125.58,
150,31.29,4.96,5.04,123.29,
175,36.61,5.32,4.7,118.81,
200,42.15,5.54,4.51,118.11,
225,47.73,5.58,4.48,115.83,
250,53.45,5.71,4.38,110.66,
275,59.13,5.68,4.4,110.29,
300,64.76,5.63,4.44,110.43,
325,70.5,5.74,4.35,116.05,
350,76.08,5.58,4.48,114.94,
375,81.71,5.63,4.44,112.03,
400,87.65,5.93,4.21,110.91,
425,93.45,5.8,4.31,111.52,
450,99.19,5.74,4.35,111.52,
475,105.06,5.87,4.26,112.57,
500,110.99,5.93,4.22,111.11,
Av,,5.55,4.54,118.32,
