Race,,Dist,200m,Time,39.62
Split,Time,Secs,Vel,SR,
25,6.44,6.44,3.88,127.24,
50,10.94,4.5,5.56,144.93,
75,15.46,4.52,5.53,145.63,
100,20.05,4.59,5.44,142.86,
125,24.81,4.75,5.26,135.34,
150,29.63,4.83,5.18,132.45,
175,34.58,4.95,5.05,127.39,
200,39.62,5.03,4.97,125.58,
Av,,4.95,5.11,135.18,
