Race,,Dist,500,Time,01:44.1
Split,Time,Secs,Vel,SR,
25,6.79,6.79,3.68,131.76,
50,11.32,4.53,5.52,146.7,
75,15.82,4.5,5.56,141.36,
100,20.49,4.67,5.36,134.83,
125,25.28,4.79,5.22,129.81,
150,30.21,4.93,5.08,125.79,
175,35.17,4.96,5.04,124.42,
200,40.14,4.98,5.02,124.14,
225,45.25,5.1,4.9,121.46,
250,50.39,5.15,4.86,121.62,
275,55.74,5.34,4.68,121.46,
300,01:01.1,5.34,4.68,121.46,
325,01:06.5,5.38,4.64,121.35,
350,01:11.8,5.36,4.66,121.7,
375,01:17.1,5.33,4.69,123.46,
400,01:22.4,5.24,4.77,126.85,
425,01:27.7,5.3,4.72,125,
450,01:33.1,5.36,4.66,123.46,
475,01:38.4,5.39,4.64,122.95,
500,01:44.1,5.64,4.43,119.78,
Av,,5.2,4.84,126.47,
