Race,,Dist,500,Time,119.14
Split,Time,Secs,Vel,SR,
25,6.82,6.82,3.67,127.27,
50,11.86,5.04,4.96,130.15,
75,16.86,4.99,5.01,128.57,
100,21.98,5.12,4.88,123.2,
125,27.29,5.31,4.71,120,
150,32.45,5.16,4.84,111.11,
175,38.02,5.57,4.49,113.64,
200,43.77,5.75,4.35,110.43,
225,49.69,5.92,4.22,108.5,
250,55.73,6.04,4.14,108.89,
275,61.61,5.88,4.25,112.78,
300,67.88,6.27,3.99,106.38,
325,74.09,6.22,4.02,107.33,
350,80.51,6.41,3.9,108.55,
375,86.79,6.28,3.98,110.5,
400,93.25,6.47,3.86,105.43,
425,99.66,6.4,3.9,105.82,
450,106.12,6.47,3.87,106.11,
475,112.7,6.58,3.8,106.38,
500,119.13,6.43,3.9,108.37,
Av,,5.96,4.24,112.97,
