Race,,Dist,1000m,Time,03:40.8
Split,Time,Secs,Vel,SR,
25,6.45,6.45,3.87,140.7,
50,10.97,4.52,5.54,144.58,
75,15.52,4.56,5.49,138.89,
100,20.17,4.64,5.39,134,
125,24.99,4.82,5.19,128.88,
150,29.98,4.99,5.01,125.79,
175,35.01,5.04,4.96,122.73,
200,40.1,5.09,4.92,120.54,
225,45.3,5.2,4.81,118.58,
250,50.53,5.23,4.78,118.68,
275,55.81,5.28,4.73,117.9,
300,01:01.2,5.37,4.66,115.83,
325,01:06.5,5.3,4.71,114.41,
350,01:11.8,5.3,4.72,114.16,
375,01:17.1,5.37,4.66,113.21,
400,01:22.6,5.46,4.58,111.8,
425,01:28.1,5.53,4.52,111.8,
450,01:33.7,5.53,4.52,110.29,
475,01:39.2,5.56,4.49,110.43,
500,01:44.8,5.61,4.46,105.88,
525,01:50.5,5.69,4.39,103.65,
550,01:56.2,5.69,4.4,102.56,
575,02:01.9,5.73,4.36,104.25,
600,02:07.7,5.73,4.37,102.86,
625,02:13.5,5.79,4.32,101.89,
650,02:19.4,5.92,4.23,100.93,
675,02:25.3,5.94,4.21,100.93,
700,02:31.2,5.93,4.21,98.9,
725,02:37.0,5.76,4.34,102.35,
750,02:42.6,5.64,4.43,103.65,
775,02:48.3,5.61,4.46,105.06,
800,02:53.9,5.65,4.42,102.66,
825,02:59.6,5.68,4.4,98.77,
850,03:05.3,5.75,4.35,98.77,
875,03:11.1,5.74,4.35,100.93,
900,03:16.8,5.69,4.39,101.5,
925,03:22.5,5.78,4.33,96.97,
950,03:28.5,5.92,4.22,94.49,
975,03:34.5,6.02,4.15,92.47,
1000,03:40.8,6.33,3.95,84.81,
Av,,5.52,4.56,110.44,
