Race,,Dist,200m,Time,42.97
Split,Time,Secs,Vel,SR,
25,7.37,7.37,3.39,124.8,
50,12.33,4.96,5.04,133.93,
75,17.31,4.98,5.02,131,
100,22.29,4.98,5.02,128.21,
125,27.22,4.93,5.07,126.46,
150,32.41,5.19,4.82,124.22,
175,37.7,5.29,4.72,123.2,
200,42.96,5.26,4.76,125.26,
Av,,5.37,4.73,127.14,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
