Race,,Dist,500m,Time,01:45.7
Split,Time,Secs,Vel,SR,
25,6.21,6.21,4.03,144,
50,10.58,4.37,5.72,149,
75,15.07,4.49,5.57,131,
100,19.79,4.71,5.3,122,
125,24.60,4.81,5.19,122,
150,29.55,4.95,5.05,116,
175,34.63,5.08,4.92,114,
200,39.80,5.17,4.84,110,
225,45.05,5.25,4.76,110,
250,50.40,5.35,4.68,109,
275,55.77,5.37,4.65,111,
300,01:01.2,5.40,4.63,111,
325,01:06.6,5.42,4.61,115,
350,01:12.0,5.40,4.63,120,
375,01:17.4,5.45,4.59,121,
400,01:22.9,5.43,4.6,119,
425,01:28.5,5.58,4.48,118,
450,01:34.1,5.67,4.41,118,
475,01:39.8,5.71,4.37,117,
500,01:45.7,5.83,4.29,118,
Av,,5.28,4.77,120,
,,,,,
