Race,,Dist,500,Time,113.69
Split,Time,Secs,Vel,SR,
25,7.69,7.69,3.25,117.12,
50,12.84,5.16,4.85,124.74,
75,17.83,4.98,5.02,123.01,
100,23.01,5.18,4.83,120.97,
125,28.39,5.38,4.65,118.42,
150,33.64,5.26,4.75,117.88,
175,39.02,5.38,4.65,118.68,
200,44.46,5.44,4.59,116.73,
225,49.98,5.52,4.53,116.28,
250,55.46,5.48,4.56,117.14,
275,61.07,5.61,4.46,113.85,
300,66.83,5.76,4.34,112.99,
325,72.69,5.87,4.26,114.72,
350,78.28,5.59,4.47,115.38,
375,84.03,5.75,4.35,116.28,
400,89.95,5.92,4.22,114.5,
425,95.73,5.78,4.32,114.5,
450,101.71,5.98,4.18,112.36,
475,107.78,6.07,4.12,112.05,
500,113.68,5.9,4.24,111.57,
Av,,5.68,4.43,116.46,
